rank,name,slug
1,Bitcoin,BTC
2,Ethereum,ETH
3,Cardano,ADA
4,Tether,USDT
5,Binance Coin,BNB
6,XRP,XRP
7,Solana,SOL
8,USD Coin,USDC
9,Polkadot,DOT
10,Dogecoin,DOGE
11,Avalanche,AVAX
12,Terra,LUNA
13,Binance USD,BUSD
14,Uniswap,UNI
15,Chainlink,LINK
16,Cosmos,ATOM
17,Algorand,ALGO
18,Litecoin,LTC
19,Bitcoin Cash,BCH
20,Wrapped Bitcoin,WBTC
21,Polygon,MATIC
22,Internet Computer,ICP
23,FTX Token,FTT
24,Stellar,XLM
25,Filecoin,FIL
26,TRON,TRX
28,Ethereum Classic,ETC
27,VeChain,VET
29,Dai,DAI
30,cETH,CETH
31,Tezos,XTZ
32,Theta Network,THETA
33,Bitcoin Cash ABC,BCHA
34,PancakeSwap,CAKE
35,eCash,XEC
36,Elrond,EGLD
37,cUSDC,CUSDC
38,Monero,XMR
39,Crypto.com Coin,CRO
40,Lido Staked Ether,STETH
41,cDAI,CDAI
42,Quant,QNT
43,Aave,AAVE
44,EOS,EOS
45,Axie Infinity,AXS
46,Hedera Hashgraph,HBAR
47,Shiba Inu,SHIB
48,OKB,OKB
49,Near,NEAR
50,The Graph,GRT
51,IOTA,MIOTA
52,Fantom,FTM
53,Kusama,KSM
54,NEO,NEO
55,Klaytn,KLAY
56,TerraUSD,UST
57,LEO Token,LEO
58,Bitcoin SV,BSV
59,Waves,WAVES
60,Arweave,AR
61,Amp,AMP
62,Celsius Network,CEL
63,Sushi,SUSHI
64,Maker,MKR
65,BitTorrent,BTT
66,Compound,COMP
67,Celo,CELO
68,THORChain,RUNE
69,Synthetix Network Token,SNX
70,XDC Network,XDC
71,Helium,HNT
72,Harmony,ONE
73,Huobi BTC,HBTC
74,Dash,DASH
75,Decred,DCR
76,Theta Fuel,TFUEL
77,TrueUSD,TUSD
78,Holo,HOT
79,Chiliz,CHZ
80,Decentralized Social,DESO
81,IOST,IOST
82,NEM,XEM
83,Stacks,STX
84,Zcash,ZEC
85,OMG Network,OMG
86,Enjin Coin,ENJ
87,Olympus,OHM
88,ECOMI,OMI
89,Huobi Token,HT
90,Pax Dollar,USDP
91,Mina Protocol,MINA
92,yearn.finance,YFI
93,Osmosis,OSMO
94,ICON,ICX
95,Zilliqa,ZIL
96,Curve DAO Token,CRV
97,dYdX,DYDX
98,Flow,FLOW
99,Serum,SRM
100,Qtum,QTUM
101,REN,REN
102,Ravencoin,RVN
103,Celer Network,CELR
104,Basic Attention Token,BAT
105,Perpetual Protocol,PERP
106,Decentraland,MANA
107,Bitcoin Gold,BTG
108,Telcoin,TEL
109,Magic Internet Money,MIM
110,Audius,AUDIO
111,xSUSHI,XSUSHI
112,Bancor Network Token,BNT
113,KuCoin Token,KCS
114,cUSDT,CUSDT
115,NEXO,NEXO
116,Nexus Mutual,NXM
117,Horizen,ZEN
118,SafeMoon,SAFEMOON
119,0x,ZRX
120,Constellation,DAG
121,renBTC,RENBTC
122,Siacoin,SC
123,Mdex,MDX
124,Raydium,RAY
125,Gala,GALA
126,Ontology,ONT
127,DigiByte,DGB
128,IoTeX,IOTX
129,Ankr,ANKR
130,LINK,LN
131,Nano,NANO
132,UMA,UMA
